fecha,anio,mes,mes_nombre,grupo_residencia_principal,grupo_residencia_detalle,aeropuerto,valor,total_ytd_archivo,unidad,fuente_archivo
2026-01-31,2026,1,Enero,NO RESIDENTES,,PUNTA CANA,523307.2882668674,1654078.7544301953,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,,PUNTA CANA,518532.8610049583,1654078.7544301953,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,,PUNTA CANA,612238.6051583696,1654078.7544301953,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,,LA ROMANA,13788.922974664507,38632.40872456278,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,,LA ROMANA,12176.051530172032,38632.40872456278,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,,LA ROMANA,12667.434219726245,38632.40872456278,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,,MARÍA MONTEZ,2.0,8.0,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,,MARÍA MONTEZ,4.0,8.0,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,,MARÍA MONTEZ,2.0,8.0,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,,CIBAO,76106.2707112059,242192.48457253614,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,,CIBAO,80414.04319440323,242192.48457253614,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,,CIBAO,85672.170666927,242192.48457253614,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,,LA ISABELA,1446.8924261566547,4221.748468033764,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,,LA ISABELA,1252.8021561720004,4221.748468033764,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,,LA ISABELA,1522.0538857051092,4221.748468033764,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,,"EL CATEY, SAMANA",10550.237354037727,30663.998896270714,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,,"EL CATEY, SAMANA",10433.972449342313,30663.998896270714,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,,"EL CATEY, SAMANA",9679.789092890673,30663.998896270714,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,DOMINICANOS,TOTAL,115958.70475913303,343261.3575058584,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,DOMINICANOS,TOTAL,105541.91452203097,343261.3575058584,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,DOMINICANOS,TOTAL,121760.7382246944,343261.3575058584,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,DOMINICANOS,LAS AMERICAS,52442.27916445963,156080.7953836116,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,DOMINICANOS,LAS AMERICAS,46765.37140102179,156080.7953836116,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,DOMINICANOS,LAS AMERICAS,56873.14481813019,156080.7953836116,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,DOMINICANOS,PUERTO PLATA,3223.524419604708,8796.87498706852,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,DOMINICANOS,PUERTO PLATA,2504.3122992978597,8796.87498706852,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,DOMINICANOS,PUERTO PLATA,3069.038268165952,8796.87498706852,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,DOMINICANOS,PUNTA CANA,8142.818146927263,23513.21821543829,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,DOMINICANOS,PUNTA CANA,6905.493792024684,23513.21821543829,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,DOMINICANOS,PUNTA CANA,8464.906276486341,23513.21821543829,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,DOMINICANOS,LA ROMANA,535.5142712807673,1248.9556462904475,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,DOMINICANOS,LA ROMANA,366.9503557732983,1248.9556462904475,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,DOMINICANOS,LA ROMANA,346.49101923638193,1248.9556462904475,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,DOMINICANOS,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,DOMINICANOS,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,DOMINICANOS,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,DOMINICANOS,CIBAO,51161.60887284541,152343.91453233187,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,DOMINICANOS,CIBAO,48641.2639784066,152343.91453233187,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,DOMINICANOS,CIBAO,52541.04168107987,152343.91453233187,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,DOMINICANOS,LA ISABELA,385.4614223430702,1108.828798928172,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,DOMINICANOS,LA ISABELA,319.8435793137032,1108.828798928172,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,DOMINICANOS,LA ISABELA,403.5237972713987,1108.828798928172,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,DOMINICANOS,"EL CATEY, SAMANA",67.49846167219796,168.76994218951296,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,DOMINICANOS,"EL CATEY, SAMANA",38.67911619304278,168.76994218951296,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,DOMINICANOS,"EL CATEY, SAMANA",62.592364324272225,168.76994218951296,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,EXTRANJEROS,TOTAL,709887.9131173048,2260383.263378915,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,EXTRANJEROS,TOTAL,718537.7893722106,2260383.263378915,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,EXTRANJEROS,TOTAL,831957.5608893995,2260383.263378915,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,EXTRANJEROS,LAS AMERICAS,98897.89055907872,319320.89409539493,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,EXTRANJEROS,LAS AMERICAS,103911.99160137206,319320.89409539493,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,EXTRANJEROS,LAS AMERICAS,116511.01193494412,319320.89409539493,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,EXTRANJEROS,PUERTO PLATA,46081.312000362566,149648.6613270995,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,EXTRANJEROS,PUERTO PLATA,48084.298257502065,149648.6613270995,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,EXTRANJEROS,PUERTO PLATA,55483.05106923485,149648.6613270995,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,EXTRANJEROS,PUNTA CANA,515164.4701199401,1630565.536214757,pasajeros,lleg_total_2026.xls
