anio,concepto,valor,unidad,fuente_archivo
2018,Renta de la Inversión,-3820.2999999999997,millones_usd,bpagos_6.xls
2019,Renta de la Inversión,-4145.1,millones_usd,bpagos_6.xls
2020,Renta de la Inversión,-3704.0,millones_usd,bpagos_6.xls
2021,Renta de la Inversión,-4817.999999999999,millones_usd,bpagos_6.xls
2022,Renta de la Inversión,-4486.8,millones_usd,bpagos_6.xls
2023,Renta de la Inversión,-5689.000000000001,millones_usd,bpagos_6.xls
2024,Renta de la Inversión,-6702.6,millones_usd,bpagos_6.xls
2025,Renta de la Inversión,-8060.300000000001,millones_usd,bpagos_6.xls
2010,Inversión Extranjera Directa,-1659.3999999999999,millones_usd,bpagos_6.xls
2011,Inversión Extranjera Directa,-1909.0,millones_usd,bpagos_6.xls
2012,Inversión Extranjera Directa,-1925.2999999999997,millones_usd,bpagos_6.xls
2013,Inversión Extranjera Directa,-2511.2,millones_usd,bpagos_6.xls
2014,Inversión Extranjera Directa,-2745.2999999999997,millones_usd,bpagos_6.xls
2015,Inversión Extranjera Directa,-2336.3,millones_usd,bpagos_6.xls
2016,Inversión Extranjera Directa,-2439.5,millones_usd,bpagos_6.xls
2017,Inversión Extranjera Directa,-2724.5,millones_usd,bpagos_6.xls
2018,Inversión Extranjera Directa,-2761.0,millones_usd,bpagos_6.xls
2019,Inversión Extranjera Directa,-2860.7,millones_usd,bpagos_6.xls
2020,Inversión Extranjera Directa,-2442.0,millones_usd,bpagos_6.xls
2021,Inversión Extranjera Directa,-3019.5,millones_usd,bpagos_6.xls
2022,Inversión Extranjera Directa,-3014.4,millones_usd,bpagos_6.xls
2023,Inversión Extranjera Directa,-3983.8,millones_usd,bpagos_6.xls
2024,Inversión Extranjera Directa,-4198.1,millones_usd,bpagos_6.xls
2025,Inversión Extranjera Directa,-5410.3,millones_usd,bpagos_6.xls
2010,Crédito,0.0,millones_usd,bpagos_6.xls
2011,Crédito,0.0,millones_usd,bpagos_6.xls
2012,Crédito,0.0,millones_usd,bpagos_6.xls
2013,Crédito,0.0,millones_usd,bpagos_6.xls
2014,Crédito,0.0,millones_usd,bpagos_6.xls
2015,Crédito,0.0,millones_usd,bpagos_6.xls
2016,Crédito,0.0,millones_usd,bpagos_6.xls
2017,Crédito,0.0,millones_usd,bpagos_6.xls
2018,Crédito,0.0,millones_usd,bpagos_6.xls
2019,Crédito,0.0,millones_usd,bpagos_6.xls
2020,Crédito,0.0,millones_usd,bpagos_6.xls
2021,Crédito,0.0,millones_usd,bpagos_6.xls
2022,Crédito,7.9,millones_usd,bpagos_6.xls
2023,Crédito,27.200000000000003,millones_usd,bpagos_6.xls
2024,Crédito,40.9,millones_usd,bpagos_6.xls
2025,Crédito,30.900000000000002,millones_usd,bpagos_6.xls
2010,Débito,1659.3999999999999,millones_usd,bpagos_6.xls
2011,Débito,1909.0,millones_usd,bpagos_6.xls
2012,Débito,1925.2999999999997,millones_usd,bpagos_6.xls
2013,Débito,2511.2,millones_usd,bpagos_6.xls
2014,Débito,2745.2999999999997,millones_usd,bpagos_6.xls
2015,Débito,2336.3,millones_usd,bpagos_6.xls
2016,Débito,2439.5,millones_usd,bpagos_6.xls
2017,Débito,2724.5,millones_usd,bpagos_6.xls
