anio,concepto,valor,unidad,hoja_origen,fuente_archivo
2023,1. Gobierno Central 4/ 7/,15753.6309,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2024,1. Gobierno Central 4/ 7/,16733.37,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2025,1. Gobierno Central 4/ 7/,15999.41,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2000,2. Resto del SPNF 8/,255.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2001,2. Resto del SPNF 8/,320.2,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2002,2. Resto del SPNF 8/,463.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2003,2. Resto del SPNF 8/,205.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2004,2. Resto del SPNF 8/,289.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2005,2. Resto del SPNF 8/,148.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2006,2. Resto del SPNF 8/,182.2,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2007,2. Resto del SPNF 8/,198.9,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2008,2. Resto del SPNF 8/,355.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2009,2. Resto del SPNF 8/,255.2,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2010,2. Resto del SPNF 8/,184.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2011,2. Resto del SPNF 8/,142.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2012,2. Resto del SPNF 8/,335.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2013,2. Resto del SPNF 8/,104.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2014,2. Resto del SPNF 8/,77.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2015,2. Resto del SPNF 8/,454.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2016,2. Resto del SPNF 8/,607.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2017,2. Resto del SPNF 8/,688.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2018,2. Resto del SPNF 8/,654.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2019,2. Resto del SPNF 8/,726.8,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2020,2. Resto del SPNF 8/,530.21,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2021,2. Resto del SPNF 8/,444.357,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2022,2. Resto del SPNF 8/,305.97,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2023,2. Resto del SPNF 8/,221.0673,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2024,2. Resto del SPNF 8/,113.83,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2025,2. Resto del SPNF 8/,71.22,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2000,3. Banco Central,263.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2001,3. Banco Central,192.9,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2002,3. Banco Central,393.2,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2003,3. Banco Central,1703.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2004,3. Banco Central,3457.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2005,3. Banco Central,3939.9,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2006,3. Banco Central,4729.8,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2007,3. Banco Central,5209.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
