anio,concepto,valor,unidad,hoja_origen,fuente_archivo
2020,2. Resto del SPNF,7.619637550584536e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2021,2. Resto del SPNF,6.276096438699721e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2022,2. Resto del SPNF,5.232288460164361e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2023,2. Resto del SPNF,4.9400638570991435e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2024,2. Resto del SPNF,4.775363352461609e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2025,2. Resto del SPNF,4.669563829887086e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2000,3. Banco Central 5/,0.03701829098480667,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2001,3. Banco Central 5/,0.033296220049290996,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2002,3. Banco Central 5/,0.03338745109057583,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2003,3. Banco Central 5/,0.03853068583196028,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2004,3. Banco Central 5/,0.0359043416733232,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2005,3. Banco Central 5/,0.02707192893171448,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2006,3. Banco Central 5/,0.02599115394806417,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2007,3. Banco Central 5/,0.023543026877366736,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2008,3. Banco Central 5/,0.019774722435705914,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2009,3. Banco Central 5/,0.024029528319560338,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2010,3. Banco Central 5/,0.020628281466397266,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2011,3. Banco Central 5/,0.01957682453991682,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2012,3. Banco Central 5/,0.01675731401993428,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2013,3. Banco Central 5/,0.01553951837363966,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2014,3. Banco Central 5/,0.01257835874820603,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2015,3. Banco Central 5/,0.009600376171479005,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2016,3. Banco Central 5/,0.007968192604469562,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2017,3. Banco Central 5/,0.003831711586161233,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2018,3. Banco Central 5/,0.00348058446700237,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2019,3. Banco Central 5/,0.00329592078895198,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2020,3. Banco Central 5/,0.003890347386194766,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2021,3. Banco Central 5/,0.009851579118375035,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2022,3. Banco Central 5/,0.009580443076665713,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2023,3. Banco Central 5/,0.00909890600258716,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2024,3. Banco Central 5/,0.008615718586331996,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2025,3. Banco Central 5/,0.008737324910910666,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2000,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.030256769883816658,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2001,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.03214029373204061,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2002,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.0437133468776542,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2003,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.10849707687517998,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2004,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.19400851721714965,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2005,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.134961446156491,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2006,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.15165071100940405,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2007,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.13933271768276473,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2008,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.15084321800887726,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2009,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.1697519122810903,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2010,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.16064053605876355,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
